Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
4436876.524074274,3085278.6874412326,3376310.701653491,32.16879873393717,34.813661167085165,38.13736778218299
4436882.867613471,3085280.299765043,3376315.863788749,32.16880871392562,34.813636804915824,46.073195772245526
4436875.160833212,3085279.1697089258,3376308.271294687,32.16878423359472,34.81367361654553,36.12903564050794
4436875.6644753935,3085277.607056545,3376310.283272316,32.16880189011498,34.81365696589449,36.79509193915874
4436878.557056935,3085278.539181028,3376315.634687879,32.168828782849154,34.813647571140045,42.105049206875265
4436867.987224204,3085276.4750237423,3376308.9993831124,32.16882545559153,34.81369358165829,30.22891031112522
4435534.449762043,3085119.3143055746,3376447.185364516,32.175568590591496,34.820398809001524,-898.8470316976309
4435537.815098691,3085124.9871806977,3376449.5854636165,32.17555808619555,34.82042781761694,-892.4887223634869
4435544.45050234,3085129.804826714,3376453.045550039,32.175545125724874,34.82042957974945,-883.707038926892
4435535.900374285,3085126.005735407,3376448.2444405006,32.17555260495677,34.820448279006825,-894.0410335967317
4436890.583418617,3085280.94692657,3376319.2490023174,32.16880236604371,34.8135957353897,53.5505716400221
4436888.267581817,3085280.3129621493,3376312.1443963074,32.16875899960987,34.81360423447877,47.852151709608734
4436880.761630982,3085277.785006823,3376319.5286422716,32.16885188434752,34.813627662383766,45.34552537277341
4436887.36439876,3085282.066219995,3376320.0331542934,32.16881797285055,34.81362496259515,52.271845432929695
4436892.901702318,3085286.0326152546,3376316.764065996,32.16876031858195,34.81362597158578,56.2964354660362
4435548.567186714,3085131.1526818657,3376455.4048896674,32.17554320894314,34.82041638631176,-878.9386798879132
4435541.554498833,3085129.270784523,3376452.060808361,32.175550491384186,34.82044246651868,-886.5018696319312
4435540.563053565,3085132.8925499516,3376448.5576044368,32.17551772433522,34.82048000002309,-887.3058562353253
4436888.430741354,3085284.3688207585,3376316.7349983277,32.168782281359995,34.8136385511906,52.36970275361091
4436885.963542194,3085284.2530102083,3376322.2511075097,32.168834431434995,34.81365247675338,53.53595884889364
