# 
# Header Description:
# 
# Version: v3.0.6.4 Platform: 14 Manufacturer: samsung Model: SM-S926B
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Status,,2,0,1,26,1575420030,17.80,253.8,53.3,0,0,1,12.8
Status,,2,1,1,31,1575420030,19.50,237.6,4.8,0,0,1,14.5
Status,,3,0,1,23,1575420030,23.90,169.4,68.1,0,0,1,18.9
Status,,3,1,1,26,1575420030,17.90,253.8,53.3,0,0,1,12.9
Status,,3,2,1,31,1575420030,19.90,237.6,4.8,0,0,1,14.9
Status,,3,0,1,23,1575420030,23.80,169.4,68.1,0,0,1,18.8
Status,,3,1,1,26,1575420030,17.90,253.8,53.3,0,0,1,12.9
Status,,3,2,1,31,1575420030,20.30,237.6,4.8,0,0,1,15.3
Status,,3,0,1,23,1575420030,23.60,169.4,68.1,0,0,1,18.6
Status,,3,1,1,26,1575420030,17.80,253.8,53.3,0,0,1,12.8
Status,,3,2,1,31,1575420030,20.70,237.6,4.8,0,0,1,15.7
Status,,4,0,1,23,1575420030,23.30,169.4,68.1,0,0,1,18.3
Status,,4,1,1,26,1575420030,17.80,253.8,53.3,0,0,1,12.8
Status,,4,2,1,31,1575420030,20.70,237.6,4.8,0,0,1,15.7
Status,,4,3,1,25,1575420030,20.70,160.1,2.1,0,0,1,15.7
Fix,NLP,33.8178237000,35.4926534000,30.799999237060547,,104.1,,1719560047009,,,171473118000000,20.729273,0,,,
Status,,5,0,1,23,1575420030,22.80,169.4,68.1,0,0,1,17.8
Status,,5,1,1,26,1575420030,17.70,253.8,53.3,0,0,1,12.7
Status,,5,2,1,31,1575420030,20.80,237.6,4.8,0,0,1,15.8
Status,,5,3,1,13,1575420030,20.10,53.4,3.3,0,0,1,15.1
Status,,5,4,1,25,1575420030,20.70,160.1,2.1,0,0,1,15.7
Fix,FLP,33.8178242000,35.4926590000,30.799999237060547,0.011447549,86.25,,1719560047233,1.5,,171473342000000,15.00081,0,,,
Status,,5,0,1,23,1575420030,22.30,169.4,68.1,0,0,1,17.3
Status,,5,1,1,26,1575420030,17.60,253.8,53.3,0,0,1,12.6
Status,,5,2,1,31,1575420030,20.80,237.6,4.8,0,0,1,15.8
Status,,5,3,1,13,1575420030,20.00,53.4,3.3,0,0,1,15.0
Status,,5,4,1,25,1575420030,20.60,160.1,2.1,0,0,1,15.6
Status,,5,0,1,23,1575420030,21.70,169.4,68.1,0,0,1,16.7
Status,,5,1,1,26,1575420030,17.40,253.8,53.3,0,0,1,12.4
Status,,5,2,1,13,1575420030,19.80,53.4,3.3,0,0,1,14.8
Status,,5,3,1,25,1575420030,20.50,160.1,2.1,0,0,1,15.5
Status,,5,4,1,31,1575420030,19.30,237.6,4.8,0,0,1,14.3
Status,,6,0,1,23,1575420030,21.20,169.4,68.1,0,0,1,16.2
Status,,6,1,1,26,1575420030,17.30,253.8,53.3,0,0,1,12.3
Status,,6,2,1,29,1575420030,26.40,101.9,33.3,0,0,1,21.4
Status,,6,3,1,13,1575420030,19.60,53.4,3.3,0,0,1,14.6
Status,,6,4,1,25,1575420030,20.30,160.1,2.1,0,0,1,15.3
Status,,6,5,1,31,1575420030,16.30,237.6,4.8,0,0,1,11.3
Status,,6,0,1,29,1575420030,27.00,101.9,33.3,0,0,1,22.0
Status,,6,1,1,26,1575420030,15.70,253.8,53.3,0,0,1,10.7
Status,,6,2,1,23,1575420030,19.40,169.4,68.1,0,0,1,14.4
Status,,6,3,1,31,1575420030,14.00,237.6,4.8,0,0,1,9.0
Status,,6,4,1,13,1575420030,18.00,53.4,3.3,0,0,1,13.0
Status,,6,5,1,25,1575420030,18.70,160.1,2.1,0,0,1,13.7
Status,,8,0,1,16,1575420030,26.40,306.2,37.5,0,0,1,21.4
Status,,8,1,1,29,1575420030,26.90,101.9,33.3,0,0,1,21.9
Status,,8,2,1,27,1575420030,26.40,308.5,16.7,0,0,1,21.4
Status,,8,3,1,23,1575420030,16.40,169.4,68.1,0,0,1,11.4
Status,,8,4,1,26,1575420030,13.50,253.8,53.3,0,0,1,8.5
Status,,8,5,1,31,1575420030,12.60,237.6,4.8,0,0,1,7.6
Status,,8,6,1,13,1575420030,15.00,53.4,3.3,0,0,1,10.0
Status,,8,7,1,25,1575420030,15.70,160.1,2.1,0,0,1,10.7
Status,,9,0,1,16,1575420030,26.30,306.2,37.5,0,0,1,21.3
Status,,9,1,1,29,1575420030,26.60,101.9,33.3,0,0,1,21.6
Status,,9,2,1,15,1575420030,24.50,79.7,21.0,0,0,1,19.5
Status,,9,3,1,27,1575420030,26.30,308.5,16.7,0,0,1,21.3
Status,,9,4,3,21,1604249980,31.80,59.7,23.8,0,0,1,26.8
Status,,9,5,1,26,1575420030,12.20,253.8,53.3,0,0,1,7.2
Status,,9,6,1,23,1575420030,14.10,169.4,68.1,0,0,1,9.1
Status,,9,7,1,13,1575420030,13.40,53.4,3.3,0,0,1,8.4
Status,,9,8,1,25,1575420030,13.50,160.1,2.1,0,0,1,8.5
Status,,10,0,1,18,1575420030,22.40,22.5,58.1,0,0,1,17.4
Status,,10,1,1,16,1575420030,26.10,306.2,37.5,0,0,1,21.1
Status,,10,2,1,10,1575420030,23.00,197.9,35.9,0,0,1,18.0
Status,,10,3,1,15,1575420030,24.50,79.7,21.0,0,0,1,19.5
Status,,10,4,1,27,1575420030,26.10,308.5,16.7,0,0,1,21.1
Status,,10,5,1,13,1575420030,23.80,53.4,3.3,0,0,1,18.8
Status,,10,6,1,23,1575420030,12.70,169.4,68.1,0,0,1,7.7
Status,,10,7,1,29,1575420030,24.90,101.9,33.3,0,0,1,19.9
Status,,10,8,1,25,1575420030,12.20,160.1,2.1,0,0,1,7.2
Status,,10,9,3,21,1602000000,30.30,59.7,23.8,0,0,1,25.3
Status,,11,0,1,23,1575420030,23.20,169.4,68.1,0,0,1,18.2
Status,,11,1,1,18,1575420030,22.40,22.5,58.1,0,0,1,17.4
Status,,11,2,1,26,1575420030,23.20,253.8,53.3,0,0,1,18.2
Status,,11,3,1,16,1575420030,25.80,306.2,37.5,0,0,1,20.8
Status,,11,4,1,10,1575420030,23.00,197.9,35.9,0,0,1,18.0
Status,,11,5,1,15,1575420030,24.40,79.7,21.0,0,0,1,19.4
Status,,11,6,1,27,1575420030,25.90,308.5,16.7,0,0,1,20.9
Status,,11,7,1,31,1575420030,21.80,237.6,4.8,0,0,1,16.8
Status,,11,8,1,13,1575420030,24.60,53.4,3.3,0,0,1,19.6
Status,,11,9,1,29,1575420030,21.90,101.9,33.3,0,0,1,16.9
Status,,11,10,3,21,1602000000,27.30,59.7,23.8,0,0,1,22.3
Status,,13,0,1,23,1575420030,24.10,169.4,68.1,0,0,1,19.1
Status,,13,1,1,18,1575420030,22.30,22.5,58.1,0,0,1,17.3
Status,,13,2,1,16,1575420030,25.60,306.2,37.5,0,0,1,20.6
Status,,13,3,1,10,1575420030,23.40,197.9,35.9,0,0,1,18.4
Status,,13,4,1,15,1575420030,24.30,79.7,21.0,0,0,1,19.3
Status,,13,5,1,27,1575420030,25.70,308.5,16.7,0,0,1,20.7
Status,,13,6,1,31,1575420030,21.80,237.6,4.8,0,0,1,16.8
Status,,13,7,1,5,1575420030,25.10,37.2,2.4,0,0,1,20.1
Status,,13,8,1,25,1575420030,22.70,160.1,2.1,0,0,1,17.7
Status,,13,9,1,13,1575420030,23.10,53.4,3.3,0,0,1,18.1
Status,,13,10,1,29,1575420030,18.90,101.9,33.3,0,0,1,13.9
Status,,13,11,1,26,1575420030,21.70,253.8,53.3,0,0,1,16.7
Status,,13,12,3,21,1602000000,24.30,59.7,23.8,0,0,1,19.3
Status,,13,0,1,23,1575420030,24.40,169.2,68.3,1,0,1,19.4
Status,,13,1,1,18,1575420030,22.10,22.7,58.0,0,0,1,17.1
Status,,13,2,1,16,1575420030,25.40,306.0,37.6,1,0,1,20.4
Status,,13,3,1,10,1575420030,23.70,198.0,36.1,1,0,1,18.7
Status,,13,4,1,29,1575420030,23.90,102.1,33.2,1,0,1,18.9
Status,,13,5,1,27,1575420030,25.50,308.6,16.8,0,0,1,20.5
Status,,13,6,1,31,1575420030,21.70,237.4,4.7,0,0,1,16.7
Status,,13,7,1,5,1575420030,25.20,37.2,2.3,0,0,1,20.2
Status,,13,8,1,25,1575420030,22.90,160.1,2.0,0,0,1,17.9
Status,,13,9,1,13,1575420030,20.10,53.3,3.3,0,0,1,15.1
Status,,13,10,1,26,1575420030,18.70,253.5,53.2,0,0,1,13.7
Status,,13,11,1,15,1575420030,22.80,79.5,21.0,0,0,1,17.8
Status,,13,12,3,21,1602000000,21.30,60.0,23.6,0,0,1,16.3
Status,,13,0,1,23,1575420030,24.80,169.2,68.3,1,0,1,19.8
Status,,13,1,1,26,1575420030,26.10,253.5,53.2,0,0,1,21.1
Status,,13,2,1,16,1575420030,25.30,306.0,37.6,1,0,1,20.3
Status,,13,3,1,10,1575420030,24.00,198.0,36.1,1,0,1,19.0
Status,,13,4,1,29,1575420030,25.10,102.1,33.2,1,0,1,20.1
Status,,13,5,1,15,1575420030,27.50,79.5,21.0,0,0,1,22.5
Status,,13,6,1,27,1575420030,25.30,308.6,16.8,0,0,1,20.3
Status,,13,7,1,13,1575420030,26.60,53.3,3.3,0,0,1,21.6
Status,,13,8,1,5,1575420030,25.70,37.2,2.3,0,0,1,20.7
Status,,13,9,1,25,1575420030,23.40,160.1,2.0,0,0,1,18.4
Status,,13,10,1,31,1575420030,20.20,237.4,4.7,0,0,1,15.2
Status,,13,11,1,18,1575420030,20.60,22.7,58.0,0,0,1,15.6
Status,,13,12,3,21,1602000000,18.30,60.0,23.6,0,0,1,13.3
Raw,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,15,0.0,15,459277922559211,22,27.5,-458.0966491699219,0.1975308656692505,16,0.0,0.1396740823984146,1575420030,,,,0,,1,5.199999809265137,22.5,0.0,0.0,0.0,0.0,C,171486890413017
Raw,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,13,0.0,15,459277916616859,24,26.600000381469727,-347.6129455566406,0.21433469653129578,16,0.0,0.15155605971813202,1575420030,,,,0,,1,5.199999809265137,21.600000381469727,0.0,0.0,0.0,0.0,C,171486890413017
Raw,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,5,0.0,15,459277915099326,26,25.700000762939453,380.9499816894531,0.23337766528129578,16,0.0,0.16502134501934052,1575420030,,,,0,,1,5.199999809265137,20.700000762939453,0.0,0.0,0.0,0.0,C,171486890413017
Raw,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,29,0.0,15,459277924572961,27,25.100000381469727,94.14544677734375,0.2475186139345169,16,0.0,0.17502041161060333,1575420030,,,,0,,1,5.199999809265137,20.100000381469727,0.0,0.0,0.0,0.0,C,171486890413017
Raw,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,26,0.0,19,9125501,25,26.100000381469727,-159.25672912597656,0.22461310029029846,16,0.0,0.1588239222764969,1575420030,,,,0,,1,5.199999809265137,21.100000381469727,0.0,0.0,0.0,0.0,C,171486890413017
Raw,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,23,0.0,15,459277931449046,28,24.799999237060547,-584.1202392578125,0.25507602095603943,16,0.0,0.18036425113677979,1575420030,,,,0,,1,5.199999809265137,19.799999237060547,0.0,0.0,0.0,0.0,C,171486890413017
Raw,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,16,0.0,15,459277926257713,26,25.299999237060547,-656.875,0.24266545474529266,16,0.0,0.1715887486934662,1575420030,,,,0,,1,5.199999809265137,20.299999237060547,0.0,0.0,0.0,0.0,C,171486890413017
Raw,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,27,0.0,15,459277920998346,27,25.200000762939453,-895.3269653320312,0.24507398903369904,16,0.0,0.17329181730747223,1575420030,,,,0,,1,5.199999809265137,20.200000762939453,0.0,0.0,0.0,0.0,C,171486890413017
Raw,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,10,0.0,15,459277925142389,30,24.0,-893.501220703125,0.2770083248615265,16,0.0,0.19587258994579315,1575420030,,,,0,,1,5.199999809265137,19.0,0.0,0.0,0.0,0.0,C,171486890413017
Raw,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,25,0.0,15,459277914296809,31,23.399999618530273,378.4656982421875,0.29536861181259155,16,0.0,0.20885515213012695,1575420030,,,,0,,1,5.199999809265137,18.399999618530273,0.0,0.0,0.0,0.0,C,171486890413017
Agc,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,5.199999809265137,1575420032,1
Agc,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,5.199999809265137,1575420032,1
Agc,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,5.199999809265137,1575420032,1
Agc,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,5.199999809265137,1575420032,1
Agc,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,5.199999809265137,1575420032,1
Agc,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,5.199999809265137,1575420032,1
Agc,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,5.199999809265137,1575420032,1
Agc,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,5.199999809265137,1575420032,1
Agc,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,5.199999809265137,1575420032,1
Agc,1719560060000,23833762111,18,,-1403595254166268672,0.0,100.06922149658203,,,0,5.199999809265137,1575420032,1
Fix,GPS,33.8181519974,35.4919909872,2695.0,0.28,54.5,0.0,1719560060000,1.1,180.0,171486890413017,110.0,0,,,
Fix,FLP,33.8181403000,35.4920148000,30.799999237060547,4.973574,96.0,300.57562,1719560060667,1.1,180.0,171486776264393,15.088545,0,,,
Fix,NLP,33.8178230000,35.4926537000,30.799999237060547,,110.0,,1719560057066,,,171483175000000,23.401405,0,,,
Status,1719560060000,16,0,1,23,1575420030,25.80,169.2,68.3,1,0,1,20.8
Status,1719560060000,16,1,1,18,1575420030,30.70,22.7,58.0,0,0,1,25.7
Status,1719560060000,16,2,1,26,1575420030,27.90,253.5,53.2,1,0,1,22.9
Status,1719560060000,16,3,1,16,1575420030,25.40,306.0,37.6,1,0,1,20.4
Status,1719560060000,16,4,1,10,1575420030,28.20,198.0,36.1,1,0,1,23.2
Status,1719560060000,16,5,1,29,1575420030,26.50,102.1,33.2,0,0,1,21.5
Status,1719560060000,16,6,1,15,1575420030,27.80,79.5,21.0,1,0,1,22.8
Status,1719560060000,16,7,1,27,1575420030,25.20,308.6,16.8,0,0,1,20.2
Status,1719560060000,16,8,1,13,1575420030,27.20,53.3,3.3,0,0,1,22.2
Status,1719560060000,16,9,1,5,1575420030,27.20,37.2,2.3,0,0,1,22.2
Status,1719560060000,16,10,1,25,1575420030,24.80,160.1,2.0,0,0,1,19.8
Status,1719560060000,16,11,3,11,1602000000,36.20,241.7,40.8,0,1,0,31.2
Status,1719560060000,16,12,3,6,1599750020,37.90,56.0,31.9,0,1,0,32.9
Status,1719560060000,16,13,3,20,1603124990,33.10,58.0,21.4,0,1,0,28.1
Status,1719560060000,16,14,3,21,1600875010,15.30,60.0,23.6,0,0,1,10.3
Status,1719560060000,16,15,1,31,1575420030,17.20,237.4,4.7,0,0,1,12.2
Raw,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,18,0.0,15,459278929438785,18,30.700000762939453,-90.9719009399414,0.15140274167060852,16,0.0,0.1070568785071373,1575420030,,,,0,,1,2.5999999046325684,25.700000762939453,0.0,0.0,0.0,0.0,C,171488095760067
Raw,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,10,0.0,15,459278925113536,21,28.200000762939453,-892.3203735351562,0.18579070270061493,16,0.0,0.1313726007938385,1575420030,,,,0,,1,2.5999999046325684,23.200000762939453,0.0,0.0,0.0,0.0,C,171488095760067
Raw,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,5,0.0,15,459278915066198,23,27.200000762939453,379.39349365234375,0.2029055953025818,16,0.0,0.1434745490550995,1575420030,,,,0,,1,2.5999999046325684,22.200000762939453,0.0,0.0,0.0,0.0,C,171488095760067
Raw,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,26,0.0,15,459278929094168,22,27.899999618530273,-158.25096130371094,0.19069050252437592,16,0.0,0.13483725488185883,1575420030,,,,0,,1,2.5999999046325684,22.899999618530273,0.0,0.0,0.0,0.0,C,171488095760067
Raw,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,15,0.0,15,459278922528895,22,27.799999237060547,-458.3948059082031,0.19236689805984497,16,0.0,0.1360226273536682,1575420030,,,,0,,1,2.5999999046325684,22.799999237060547,0.0,0.0,0.0,0.0,C,171488095760067
Raw,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,13,0.0,15,459278916586212,23,27.200000762939453,-348.4445495605469,0.2029055953025818,16,0.0,0.1434745490550995,1575420030,,,,0,,1,2.5999999046325684,22.200000762939453,0.0,0.0,0.0,0.0,C,171488095760067
Raw,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,29,0.0,15,459278924540771,24,26.5,94.1149673461914,0.21633315086364746,16,0.0,0.15296916663646698,1575420030,,,,0,,1,2.5999999046325684,21.5,0.0,0.0,0.0,0.0,C,171488095760067
Raw,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,23,0.0,15,459278931419128,25,25.799999237060547,-584.3418579101562,0.23113907873630524,16,0.0,0.16343843936920166,1575420030,,,,0,,1,2.5999999046325684,20.799999237060547,0.0,0.0,0.0,0.0,C,171488095760067
Raw,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,16,0.0,15,459278926228109,26,25.399999618530273,-657.6211547851562,0.24029220640659332,16,0.0,0.16991062462329865,1575420030,,,,0,,1,2.5999999046325684,20.399999618530273,0.0,0.0,0.0,0.0,C,171488095760067
Raw,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,25,0.0,15,459278914263700,28,24.799999237060547,377.31634521484375,0.25507602095603943,16,0.0,0.18036425113677979,1575420030,,,,0,,1,2.5999999046325684,19.799999237060547,0.0,0.0,0.0,0.0,C,171488095760067
Raw,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,27,0.0,15,459278920969516,27,25.200000762939453,-895.6929321289062,0.24507398903369904,16,0.0,0.17329181730747223,1575420030,,,,0,,1,2.5999999046325684,20.200000762939453,0.0,0.0,0.0,0.0,C,171488095760067
Raw,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,6,0.0,17,971441,12,37.900001525878906,-309.4090270996094,0.09238641709089279,16,0.0,0.06532643735408783,1599750020,,,,0,,3,2.5999999046325684,32.900001525878906,0.0,0.0,0.0,0.0,C,171488095760067
Raw,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,11,0.0,17,231221,13,36.20000076293945,-59.70827865600586,0.1027284637093544,16,0.0,0.07263929396867752,1602000000,,,,0,,3,2.5999999046325684,31.200000762939453,0.0,0.0,0.0,0.0,C,171488095760067
Raw,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,20,0.0,17,608036,16,33.099998474121094,-59.465145111083984,0.1266447901725769,16,0.0,0.08955053240060806,1603124990,,,,0,,3,2.5999999046325684,28.100000381469727,0.0,0.0,0.0,0.0,C,171488095760067
Agc,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,2.5999999046325684,1575420032,1
Agc,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,2.5999999046325684,1575420032,1
Agc,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,2.5999999046325684,1575420032,1
Agc,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,2.5999999046325684,1575420032,1
Agc,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,2.5999999046325684,1575420032,1
Agc,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,2.5999999046325684,1575420032,1
Agc,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,2.5999999046325684,1575420032,1
Agc,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,2.5999999046325684,1575420032,1
Agc,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,2.5999999046325684,1575420032,1
Agc,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,2.5999999046325684,1575420032,1
Agc,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,2.5999999046325684,1575420032,1
Agc,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,2.5999999046325684,1599750016,3
Agc,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,2.5999999046325684,1602000000,3
Agc,1719560061000,24833730222,18,,-1403595254166272000,0.0,100.06922149658203,,,0,2.5999999046325684,1603124992,3
Fix,GPS,33.8193555549,35.4979739059,1853.0,1.6999999,58.5,0.0,1719560061000,0.97,180.0,171488095760067,92.0,0,,,
Fix,FLP,33.8193556000,35.4979739000,30.799999237060547,1.6999999,77.25,0.0,1719560061674,0.97,180.0,171487783732752,15.807605,0,,,
Status,1719560061000,17,0,1,23,1575420030,25.80,169.2,68.3,1,0,1,20.8
Status,1719560061000,17,1,1,18,1575420030,30.40,22.7,58.0,0,0,1,25.4
Status,1719560061000,17,2,1,26,1575420030,27.80,253.5,53.2,1,0,1,22.8
Status,1719560061000,17,3,1,16,1575420030,25.40,306.0,37.6,1,0,1,20.4
Status,1719560061000,17,4,1,10,1575420030,28.00,198.0,36.1,1,0,1,23.0
Status,1719560061000,17,5,1,29,1575420030,26.50,102.1,33.2,0,0,1,21.5
Status,1719560061000,17,6,1,27,1575420030,25.20,308.6,16.8,1,0,1,20.2
Status,1719560061000,17,7,1,5,1575420030,27.20,37.2,2.3,0,0,1,22.2
Status,1719560061000,17,8,1,25,1575420030,24.80,160.1,2.0,0,0,1,19.8
Status,1719560061000,17,9,3,13,1600875010,34.90,305.9,30.3,0,0,1,29.9
Status,1719560061000,17,10,3,21,1604249980,31.10,60.0,23.6,0,0,1,26.1
Status,1719560061000,17,11,3,20,1603124990,33.10,58.0,21.4,0,1,0,28.1
Status,1719560061000,17,12,3,22,1602000000,34.80,358.4,49.9,0,0,1,29.8
Status,1719560061000,17,13,1,13,1575420030,25.70,53.3,3.3,0,0,1,20.7
Status,1719560061000,17,14,1,15,1575420030,26.30,79.5,21.0,0,0,1,21.3
Status,1719560061000,17,15,3,6,1602000000,36.40,56.0,31.9,0,1,1,31.4
Status,1719560061000,17,16,1,31,1575420030,14.20,237.4,4.7,0,1,1,9.2
Raw,1719560062000,25833726740,18,,-1403595254166273280,0.0,100.06922149658203,,,0,18,0.0,15,459279929435670,19,30.200000762939453,-91.44058990478516,0.15747039020061493,16,0.0,0.11134731024503708,1575420030,,,,0,,1,1.2999999523162842,25.200000762939453,0.0,0.0,0.0,0.0,C,171489052807143
Raw,1719560062000,25833726740,18,,-1403595254166273280,0.0,100.06922149658203,,,0,5,0.0,15,459279915061488,23,27.100000381469727,378.8686828613281,0.20474600791931152,16,0.0,0.1447758972644806,1575420030,,,,0,,1,1.2999999523162842,22.100000381469727,0.0,0.0,0.0,0.0,C,171489052807143
Raw,1719560062000,25833726740,18,,-1403595254166273280,0.0,100.06922149658203,,,0,26,0.0,15,459279929091255,22,27.700000762939453,-158.4785919189453,0.19406546652317047,16,0.0,0.13722369074821472,1575420030,,,,0,,1,1.2999999523162842,22.700000762939453,0.0,0.0,0.0,0.0,C,171489052807143
Raw,1719560062000,25833726740,18,,-1403595254166273280,0.0,100.06922149658203,,,0,10,0.0,15,459279925113002,22,27.899999618530273,-892.2672729492188,0.19069050252437592,16,0.0,0.13483725488185883,1575420030,,,,0,,1,1.2999999523162842,22.899999618530273,0.0,0.0,0.0,0.0,C,171489052807143
Raw,1719560062000,25833726740,18,,-1403595254166273280,0.0,100.06922149658203,,,0,29,0.0,15,459279924537007,24,26.399999618530273,94.62361145019531,0.21835967898368835,16,0.0,0.15440212190151215,1575420030,,,,0,,1,1.2999999523162842,21.399999618530273,0.0,0.0,0.0,0.0,C,171489052807143
