GPS time,Sat ID,SatX,SatY,SatZ,Pseudo Range,CN0,Doppler
2024-04-13 17:43:12.758138+00:00,2,14573206.71411265,-5239567.640830624,22040175.96184369,22812058.27763995,43.0,-505.6047058105469
2024-04-13 17:43:12.754433+00:00,3,23187580.558564212,-12122987.558775622,4011162.6919710715,24151306.26768114,42.0,-504.386474609375
2024-04-13 17:43:12.764191+00:00,8,24906736.30404856,4694270.572758321,8528081.895445963,21169467.93797826,47.8,165.79957580566406
2024-04-13 17:43:28.758671+00:00,10,-1329165.0720265834,17148086.34156501,20352420.163985148,22785964.099709965,39.0,355.62664794921875
2024-04-13 17:43:12.762276+00:00,21,15699708.620245434,1536361.2559223366,21913664.42634119,21745944.913827673,44.3,-348.5203857421875
2024-04-13 17:43:12.760825+00:00,27,23150795.05425613,13293206.07379138,-2593025.988618102,22137021.599012583,45.2,533.8138427734375
2024-04-13 17:43:12.755027+00:00,28,5200268.047928143,25758890.151180234,-3885488.7660888904,23820393.16069658,35.5,-510.6150207519531
2024-04-13 17:43:12.763152+00:00,32,8094502.459394407,17964729.605067823,18113974.760810208,21259751.562319674,45.6,236.67388916015625
