GPS time,Sat ID,SatX,SatY,SatZ,Pseudo Range,CN0,Doppler
2024-04-13 17:47:42.781500+00:00,8,25023639.6240527,4783845.8041696865,8137692.350133545,21298089.881690666,27.7,207.6083984375
2024-04-13 17:47:58.775890+00:00,10,-1620081.7744787037,17327678.89277763,20172485.06377191,21196005.876491368,48.3,385.8303527832031
2024-04-13 17:47:42.779811+00:00,21,15757452.408317765,1890975.9571634931,21856363.72227612,22839528.10111702,45.7,-314.40350341796875
2024-04-13 17:47:42.777963+00:00,27,23098436.983025927,13303367.387089957,-3014966.440680798,21704707.75126088,37.9,570.804931640625
2024-04-13 17:47:42.780422+00:00,32,7810468.746056123,17849813.844240233,18350828.84000951,22215117.68794983,48.5,279.2655639648437
